code_alea,alea,code_municipalite,municipalite,precision_localisation,info_compl_localisation,severite,date_signalement,date_debut,date_debut_imprecise,commentaire_date_debut,date_fin,coord_x,coord_y
"39",Feu de forêt,"54017",Saint-Damase,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-05-16,2021-05-16,Non,,2021-05-17,-73.00642,45.525545
"154",Fermeture de pont,"79115",Sainte-Anne-du-Lac,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-04-14,2022-04-14,Non,,2022-06-21,-75.32315,46.880613
"8",Inondation,"79115",Sainte-Anne-du-Lac,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-03-30,2021-03-29,Non,,2021-10-26,-75.32315,46.880613
"156",Accident de voiture,"67035",Saint-Constant,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-01-17,2022-01-17,Non,,2022-01-18,-73.571724,45.371098
"101",Mouvement de terrain,"67035",Saint-Constant,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2021-03-18,2021-03-18,Non,,2021-10-15,-73.569733,45.371933
"8",Inondation,"67035",Saint-Constant,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-03-18,2022-03-17,Non,,2022-04-12,-73.571724,45.371098
"248",Alimentation publique en eau potable,"38028",Manseau,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-02-24,2021-02-24,Non,,2021-05-11,-72.00262,46.369373
"10",Matières dangereuses,"38028",Manseau,Imprécise,,Menace possible à la vie ou à la propriété,2021-01-15,2021-01-14,Non,,2021-03-11,-72.00262,46.369373
"8",Inondation,"42005",Stoke,Précise,,Menace faible ou non-existante à la vie ou la propriété,2022-02-18,2022-02-18,Non,,2022-03-15,-71.807457,45.535578
"156",Accident de voiture,"60028",L'Assomption,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-01-19,2022-01-19,Non,,2022-01-31,-73.42725,45.848084
"156",Accident de voiture,"60028",L'Assomption,Très précise,,Menace possible à la vie ou à la propriété,2021-02-05,2021-02-05,Non,,2021-03-23,-73.408095,45.805114
"101",Mouvement de terrain,"60028",L'Assomption,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2020-10-16,,Oui,,2021-01-29,-73.437942,45.828497
"101",Mouvement de terrain,"60028",L'Assomption,Très précise,,Menace possible à la vie ou à la propriété,2021-09-20,,Oui,,2022-03-21,-73.423275,45.836484
"101",Mouvement de terrain,"60028",L'Assomption,Très précise,Mouvement de sol,Menace faible ou non-existante à la vie ou la propriété,2021-03-24,,Oui,,2021-10-26,-73.446459,45.839521
"101",Mouvement de terrain,"60028",L'Assomption,Très précise,Mouvement de sol,Menace faible ou non-existante à la vie ou la propriété,2021-12-09,,Oui,A été signalé le 6 décembre à la municipalité. Serait survenu entre le 4 et le 6 décembre 2021.,2022-03-17,-73.422013,45.81651
"101",Mouvement de terrain,"60028",L'Assomption,Très précise,,Gravité inconnue,2022-04-08,,Oui,,2022-05-17,-73.432017,45.897261
"101",Mouvement de terrain,"60028",L'Assomption,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2022-04-27,2022-04-21,Non,,2022-05-17,-73.411776,45.844426
"101",Mouvement de terrain,"60028",L'Assomption,Très précise,Mouvement de sol,Menace faible ou non-existante à la vie ou la propriété,2022-04-22,2022-04-21,Non,,2022-05-17,-73.411776,45.844426
"138",Orage violent,"62075",Saint-Damien,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-26,2022-05-21,Non,,2022-06-08,-73.477842,46.333427
"10",Matières dangereuses,"62075",Saint-Damien,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2021-12-13,2021-12-12,Non,,2021-12-13,-73.469652,46.319533
"8",Inondation,"62075",Saint-Damien,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-03-27,2021-03-27,Non,,2021-10-26,-73.477842,46.333427
"58",Écrasement d'avion,"79097",Ferme-Neuve,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-09-24,,,,2021-09-27,-75.452528,46.698181
"9",Érosion,"79097",Ferme-Neuve,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2022-06-21,2022-06-21,Non,,,-75.485801,46.836957
"9",Érosion,"79097",Ferme-Neuve,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2022-06-21,2022-06-21,Non,,,-75.487422,46.836611
"138",Orage violent,"76052",Grenville-sur-la-Rouge,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-22,,,,2022-06-08,-74.750566,45.64975
"156",Accident de voiture,"71040",Coteau-du-Lac,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-02-25,2022-02-25,Non,,2022-03-02,-74.212862,45.268965
"138",Orage violent,"52090",Saint-Didace,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-25,2022-05-21,Non,,2022-06-08,-73.275266,46.33061
"101",Mouvement de terrain,"61005",Saint-Paul,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2020-06-19,2020-06-19,Non,,2021-11-11,-73.417546,45.936576
"101",Mouvement de terrain,"61005",Saint-Paul,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2021-04-01,2021-04-01,Non,,2021-10-26,-73.388308,45.942177
"101",Mouvement de terrain,"61005",Saint-Paul,Très précise,Glissement de terrain et évolution des signes d'amorce de glissement,Menace faible ou non-existante à la vie ou la propriété,2021-11-09,,Oui,La municipalité croit que c'est au courant de l'automne 2021.,2022-04-20,-73.391454,45.937524
"101",Mouvement de terrain,"61005",Saint-Paul,Très précise,Glissement de terrain,Menace faible ou non-existante à la vie ou la propriété,2022-04-13,,Oui,Mars-avril 2022,,-73.423929,45.931363
"101",Mouvement de terrain,"61005",Saint-Paul,Très précise,"562, chemin Brassard",Menace faible ou non-existante à la vie ou la propriété,2022-04-22,,Oui,La municipalité a constaté le glissement le 14 avril 2022.,2022-04-27,-73.40922,45.93819
"101",Mouvement de terrain,"61005",Saint-Paul,Très précise,Glissement de terrain (50 mètres de long),Menace faible ou non-existante à la vie ou la propriété,2022-06-03,2022-05-10,Non,,,-73.422714,45.965285
"8",Inondation,"61005",Saint-Paul,Précise,,Menace possible à la vie ou à la propriété,2021-03-28,2021-03-27,Non,,2021-10-26,-73.421292,45.988723
"39",Feu de forêt,"50005",Sainte-Eulalie,Précise,,Menace faible ou non-existante à la vie ou la propriété,2020-06-16,2020-06-16,Non,,2020-10-29,-72.174288,46.159451
