no_seq_observation,id_reseau,date_observation,code_municipalite,nom,urgence,certitude,type,severite,etat,imprecision
"737",EXLAPM16,2013/06/20 11:57:58,"71040",Coteau-du-Lac,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"739",EXLEGS02,2013/06/24 10:17:27,"05070",New Richmond,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"778",LAPM16,2012/06/18 00:00:00,"54110",Saint-Jude,Inconnue,Observé,Mouvement de terrain,Inconnue,Actuel,aucune
"785",GIGN02,2013/10/22 10:54:00,"57068",Saint-Denis-sur-Richelieu,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"1446",BILJ02,2014/04/14 09:40:00,"82010",,Inconnue,Observé,Mouvement de terrain,Mineure,Actuel,aucune
"1529",LEGS02,2014/04/15 12:48:00,"77055",Lac-des-Seize-Îles,Immédiate,Observé,Mouvement de terrain,Importante,Actuel,aucune
"1564",LEGS02,2014/04/15 14:00:00,"36033",Shawinigan,Immédiate,Observé,Mouvement de terrain,Importante,Actuel,aucune
"1565",LEGS02,2014/04/15 15:00:00,"80027",Saint-André-Avellin,Passée,Observé,Mouvement de terrain,Mineure,Actuel,aucune
"1566",LEGS02,2014/04/15 19:00:00,"21035",Château-Richer,Passée,Observé,Mouvement de terrain,Modérée,Actuel,aucune
"1776",JOPER005,2014/05/02 14:00:00,"49030",Saint-Lucien,Passée,Observé,Mouvement de terrain,Mineure,Actuel,aucune
"1790",ALTUR001,2014/05/05 14:00:00,"49030",Saint-Lucien,Inconnue,Observé,Mouvement de terrain,Mineure,Actuel,aucune
"1800",LEGS02,2014/07/09 02:00:00,"18025",Sainte-Apolline-de-Patton,Passée,Observé,Tornade,Importante,Actuel,aucune
"1801",EXLAPM16,2014/08/06 11:05:00,"54100",Saint-Hugues,Inconnue,Observé,Mouvement de terrain,Inconnue,Actuel,aucune
"1809",LEGS02,2014/10/17 14:27:00,"35040",Grandes-Piles,Inconnue,Observé,Accident ferroviaire,Inconnue,Essai,aucune
"1812",GIGN02,2014/10/31 13:00:00,"56050",Saint-Sébastien,Inconnue,Observé,Tornade,Inconnue,Essai,aucune
"1817",LEGS02,2014/11/06 07:30:00,"97007",Sept-Îles,Immédiate,Observé,Accident ferroviaire,Modérée,Actuel,aucune
"1818",BRIN01,2014/11/12 10:58:00,"68015",Hemmingford,Inconnue,Observé,Autre,Inconnue,Essai,aucune
"1831",marh01,2014/01/01 00:00:00,"01023",Les Îles-de-la-Madeleine,Passée,Observé,Pluie verglaçante,Mineure,Actuel,date
"1832",marh01,2007/11/04 00:00:00,"09050",Métis-sur-Mer,Passée,Observé,Mouvement de terrain,Mineure,Actuel,aucune
"1833",marh01,2008/10/28 00:00:00,"09045",Les Boules,Passée,Observé,Pluie verglaçante,Mineure,Actuel,aucune
"1834",marh01,1990/10/06 00:00:00,"02028",Chandler,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
"1835",marh01,1993/05/01 00:00:00,"04045",Cap-Chat,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,date
"1836",marh01,1987/11/30 00:00:00,"06045",Matapédia,Passée,Observé,Matières dangereuses,Mineure,Actuel,aucune
"1837",marh01,1990/09/01 00:00:00,"02028",Chandler,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
"1838",marh01,1992/01/29 00:00:00,"02028",Chandler,Passée,Observé,Autre,Mineure,Actuel,aucune
"1839",marh01,1992/05/26 00:00:00,"02028",Chandler,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
"1840",marh01,1905/12/15 00:00:00,"10015",Saint-Narcisse-de-Rimouski,Passée,Observé,Feu de forêt,Mineure,Actuel,aucune
"1841",marh01,1992/06/25 00:00:00,"02028",Chandler,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
"1842",marh01,1997/10/31 00:00:00,"02028",Chandler,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
"1843",marh01,2000/04/19 00:00:00,"02028",Chandler,Passée,Observé,Démonstration civile,Mineure,Actuel,aucune
"1844",marh01,2002/06/11 00:00:00,"02028",Chandler,Passée,Observé,Feu urbain,Mineure,Actuel,aucune
"1845",marh01,2002/09/07 00:00:00,"09085",Sainte-Flavie,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
"1846",marh01,2002/11/18 00:00:00,"02028",Chandler,Passée,Observé,Onde de tempête,Mineure,Actuel,aucune
"1847",marh01,2006/05/01 00:00:00,"02028",Chandler,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,date
"1848",marh01,2006/12/01 00:00:00,"02028",Chandler,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,date
"1849",marh01,2013/10/01 00:00:00,"02028",Chandler,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
